No	Eng	Kor
219	I had a really fun and productive day with my friends today. 	 오늘 친구들과 정말 즐겁고 알찬 하루를 보냈어.
220	My shoelaces came untied, so I need to tie them again. 	 신발 끈이 풀려서 다시 묶어야 해.
221	I am really excited about experiencing zero gravity at the space simulator. 	 우주 시뮬레이터에서 무중력 상태를 체험하게 되어 정말 기대돼.
222	Could you pass me the pair of safety scissors from the top shelf? 	 맨 위 선반에 있는 안전 가위 좀 건네줄래?
223	I'm going to put my phone on "Do Not Disturb" mode while I study. 	 공부하는 동안에는 휴대전화를 '방해 금지' 모드로 둘 거야.
224	Could you explain the proper way to measure baking ingredients with measuring cups? 	 계량컵으로 베이킹 재료를 올바르게 계량하는 법을 설명해 줄 수 있어?
225	We decided to collect old storybooks and donate them to the children's hospital. 	 우리는 오래된 동화책들을 모아서 어린이 병원에 기부하기로 했어.
226	Could you tell me where the nearest subway station is? 	 가장 가까운 지하철역이 어디인지 알려주실 수 있나요?
227	I usually eat a slice of whole-grain toast with peanut butter for breakfast. 	 나는 보통 아침으로 땅콩버터를 바른 통곡물 토스트 한 조각을 먹어.
228	It is polite to listen attentively when someone is sharing their personal experience. 	 누군가가 자신의 경험을 이야기할 때는 주의 깊게 듣는 것이 예의야.
229	I usually set a timer on my smartphone to stay focused while doing homework. 	 숙제할 때 집중하기 위해 스마트폰에 타이머를 맞춰두곤 해.
230	I always try to remain calm and focused during important examinations. 	 나는 중요한 시험을 치르는 동안 항상 침착하고 집중된 상태를 유지하려고 해.
231	It's getting chilly outside, so you should put on a light jacket. 	 밖이 쌀쌀해지고 있으니까 얇은 겉옷 챙겨 입어.
232	I need to replace the dead batteries in the wall clock. 	 벽시계에 다 닳은 건전지를 갈아 끼워야 해.
233	You should always listen attentively when someone is sharing their story. 	 누군가가 자신의 이야기를 나누고 있을 때는 항상 주의 깊게 경청해야 해.
234	Can you help me move these empty cardboard boxes to the recycling area? 	 이 빈 종이 상자들을 재활용 분리수거장으로 옮기는 것 좀 도와줄래?
235	Always speak with kindness and consideration when sharing your thoughts online. 	 온라인에서 의견을 나눌 때는 항상 친절하고 배려 깊은 태도로 말해야 해.
236	I like to listen to the gentle sound of raindrops while resting indoors. 	 실내에서 쉴 때 잔잔하게 내리는 빗소리를 듣는 것을 좋아해.
237	Let's find a shaded bench to sit on because the sun is too strong. 	 햇볕이 너무 강하니까 그늘진 벤치를 찾아서 앉자.
238	I'm trying to save my pocket money to buy a new pair of roller skates. 	 새 롤러스케이트를 사려고 용돈을 모으는 중이야.
239	What do you want to eat for dinner tonight? 	 오늘 저녁으로 뭐 먹고 싶어?
240	The historical museum displays various artifacts from ancient civilizations. 	 그 역사 박물관은 고대 문명에서 나온 다양한 유물들을 전시하고 있어.
241	I am determined to read at least twenty pages of my book every evening. 	 매일 저녁 책을 적어도 20쪽씩 읽기로 다짐했어.
242	We should encourage healthy eating habits by choosing whole fruits over sweets. 	 단 과자 대신 생과일을 선택함으로써 건강한 식습관을 기르는 것이 좋아.
243	Let's build a tall tower using these colorful wooden blocks. 	 이 알록달록한 나무 블록으로 높은 탑을 쌓아보자.
244	I try to maintain an upright posture while working on my school tablet. 	 학습용 태블릿을 사용할 때는 항상 바른 자세를 유지하려고 해.
245	Can I have a sip of your lemonade to see how sour it is? 	 얼마나 신지 보게 네 레모네이드 한 모금만 마셔봐도 돼?
246	Don't forget to blow on your soup before eating so you don't burn your tongue. 	 혀 데이지 않게 먹기 전에 국물 후후 불어서 먹는 거 잊지 마.
247	It takes continuous practice and patience to master basic swimming strokes. 	 기본적인 수영 영법을 익히려면 끊임없는 연습과 인내심이 필요해.
248	Could you pass me that green folder containing the science project handouts? 	 과학 과제 유인물이 들어 있는 저 초록색 서류철 좀 건네줄래?
249	Can we go to the pet shop to see the cute puppies? 	 귀여운 강아지들 구경하러 펫숍에 가볼 수 있을까?
250	It is essential to wear proper hiking boots to prevent slipping on rocky paths. 	 바위투성이 길에서 미끄러지는 것을 방지하려면 적절한 등산화를 신는 것이 필수적이야.
251	Could you help me look for my missing drawing sketchbook under the desk? 	 책상 아래에서 없어진 드로잉 스케치북 찾는 것 좀 도와줄래?
252	Don't forget to pack an extra sweater because the temperature drops rapidly at night. 	 밤에는 기온이 급격히 떨어지니까 여벌 스웨터 챙기는 거 잊지 마.
253	I made a delicious cheese omelet for breakfast this morning. 	 오늘 아침으로 맛있는 치즈 오믈렛을 만들었어.
254	I accidentally knocked over my water bottle, but luckily the cap was closed. 	 실수로 물병을 넘어뜨렸지만 다행히 뚜껑이 닫혀 있었어.
255	I have a dentist appointment this Thursday for a regular checkup. 	 이번 주 목요일에 정기 검진받으러 치과 예약이 있어.
256	We should support our local farmers by purchasing seasonal agricultural produce. 	 우리는 제철 농산물을 구매함으로써 지역 농부들을 지원해야 해.
257	Scientists predict that renewable energy will replace fossil fuels in the future. 	 과학자들은 미래에 재생 에너지가 화석 연료를 대체할 것이라고 예측해.
258	Please make sure that your seatbelt is securely fastened before the bus departs. 	 버스가 출발하기 전에 안전벨트가 단단히 매여 있는지 확인해 줘.
259	Let's review today's English vocabulary words by making fun practice sentences. 	 재미있는 연습 문장을 만들어보며 오늘 배운 영어 단어들을 복습하자.
260	It is polite to wait in line patiently until it is your turn to enter. 	 입장할 차례가 될 때까지 줄을 서서 얌전히 기다리는 것이 예의야.
261	We should double-check the opening hours before heading to the museum. 	 박물관으로 출발하기 전에 운영 시간을 다시 한번 확인해야 해.
262	I made a delicious fruit smoothie with bananas, strawberries, and yogurt. 	 바나나, 딸기, 요거트로 맛있는 과일 스무디를 만들었어.
263	Could you help me look for my missing gym shoes in the shoe rack? 	 신발장에서 없어진 내 체육관용 운동화 찾는 것 좀 도와줄래?
264	It is important to treat everyone with respect regardless of their background. 	 배경에 상관없이 모든 사람을 존중하는 태도로 대하는 것은 중요해.
265	I'm going to ride the swings at the playground for a while. 	 놀이터에서 그네를 잠깐 타고 올게.
266	Can you help me carry these grocery bags into the kitchen? 	 이 장바구니들을 주방으로 옮기는 것 좀 도와줄래?
267	We should encourage our classmates whenever they feel nervous about public speaking. 	 반 친구들이 대중 발표 때문에 긴장할 때마다 우리는 서로를 응원해 주어야 해.
268	I felt very excited when I saw the shooting star across the clear night sky. 	 맑은 밤하늘을 가로지르는 유성을 보았을 때 정말 신나고 짜릿했어.
269	It is important to wash cutting boards thoroughly after preparing raw food. 	 날음식을 손질한 후에는 도마를 깨끗하게 씻는 것이 중요해.
270	Let's gather all the recyclable waste and place it in the correct containers. 	 모든 재활용 쓰레기를 모아서 올바른 분리수거함에 넣자.
271	I need to replace my damaged bicycle helmet with a brand-new, sturdy one. 	 손상된 자전거 헬멧을 튼튼한 새 제품으로 교체해야 해.
272	Don't leave perishable dairy products on the kitchen counter for too long. 	 상하기 쉬운 유제품을 부엌 조리대에 너무 오래 방치하지 마.
273	It takes regular practice and patience to master basic swimming techniques. 	 기본적인 수영 기술을 익히려면 꾸준한 연습과 인내심이 필요해.
274	I always review my mistakes on previous tests so I don't repeat them. 	 같은 실수를 반복하지 않기 위해 이전 시험에서 틀린 문제들을 항상 복습해.
275	You need to keep raw meat separate from fresh vegetables in the refrigerator. 	 냉장고 안에서 날고기는 신선한 채소와 분리해서 보관해야 해.
276	Could you recommend a healthy recipe that we can make together at home? 	 집에서 함께 만들어볼 만한 건강한 요리법 하나 추천해 줄래?
277	I need to find my library card before going to the public library. 	 시립 도서관 가기 전에 대출증부터 찾아야 해.
278	I am planning to participate in the local environment cleanup campaign. 	 나는 지역 환경 정화 캠페인에 참여할 계획이야.
279	Let's take a short rest on this bench and drink some juice. 	 이 벤치에서 잠깐 쉬면서 주스 좀 마시자.
280	It is important to treat all living creatures with kindness and care. 	 모든 살아있는 생명체를 친절과 배려로 대하는 것은 중요해.
281	Can you help me sort out these old clothes to donate to charity? 	 자선 단체에 기부할 이 헌 옷들을 분류하는 것 좀 도와줄래?
282	Let's make a shopping list together before heading out to the grocery market. 	 식료품 시장으로 출발하기 전에 장보기 목록을 같이 작성하자.
283	Please turn off the bathroom light and close the door when you leave. 	 나올 때 욕실 불을 끄고 문을 닫아줘.
284	I need to take a quick shower because I'm all sweaty from exercising. 	 운동해서 땀이 많이 났으니까 얼른 샤워해야겠어.
285	Setting clear daily goals helps you stay motivated and achieve great results. 	 명확한 하루 목표를 세우는 것은 동기를 유지하고 훌륭한 결과를 얻는 데 도움이 돼.
286	We should encourage each other when facing difficult challenges or tests. 	 어려운 도전이나 시험에 직면했을 때 우리는 서로를 격려해야 해.
287	Could you show me how to solve this difficult mathematical equation? 	 이 어려운 수학 방정식을 어떻게 푸는지 보여줄 수 있어?
288	I'm helping my dad wash the car in the driveway. 	 집 앞 진입로에서 아빠 세차하시는 걸 돕고 있어.
289	Can you help me measure the dimensions of this cardboard storage box? 	 이 종이 수납 상자의 크기 치수를 재는 것 좀 도와줄래?
290	I decided to reduce my daily sugar intake for better overall health. 	 전반적인 건강 증진을 위해 하루 당분 섭취량을 줄이기로 결심했어.
291	Proper time management allows you to finish your homework without rushing. 	 올바른 시간 관리는 서두르지 않고 숙제를 끝마칠 수 있게 해줘.
292	We worked together as a team and finished planting flower seeds in the garden. 	 우리는 팀으로 함께 협동해서 정원에 꽃씨 심는 일을 끝마쳤어.
293	I made sure to double-check my mathematical calculations to avoid errors. 	 실수를 방지하기 위해 수학 계산을 다시 한번 꼼꼼히 확인했어.
294	The teacher distributed informative brochures regarding the upcoming museum excursion. 	 선생님께서 다가오는 박물관 견학에 관한 유익한 안내 책자를 나누어 주셨어.
295	I love walking along the pine tree trail right after a light rain. 	 가벼운 비가 내린 직후에 소나무 숲길을 따라 걷는 것을 정말 좋아해.
296	Let's make sure our bicycles are in good condition before going on a ride. 	 자전거를 타러 가기 전에 자전거 상태가 좋은지 먼저 확인하자.
297	I like to listen to gentle classical music while sketching landscapes in my notebook. 	 공책에 풍경화를 스케치하면서 잔잔한 클래식 음악을 듣는 것을 좋아해.
298	Don't forget to pack a portable power bank for our day trip. 	 당일치기 여행 갈 때 보조배터리 챙기는 거 잊지 마.
299	Let's sort the recycling into plastic, paper, and glass bins. 	 재활용품을 플라스틱, 종이, 유리 수거함으로 분리하자.
300	I feel energetic and ready to study after having a balanced, healthy meal. 	 균형 잡힌 건강한 식사를 하고 나니 활력이 넘치고 공부할 준비가 되었어.
301	Always keep your personal information completely private on the internet. 	 인터넷상에서는 항상 개인 정보를 철저하게 비공개로 유지해.
302	Please wipe down your desk with a clean cloth before starting your homework. 	 숙제를 시작하기 전에 깨끗한 천으로 책상을 닦아줘.
303	I managed to solve the complicated geometry problem after thinking for hours. 	 몇 시간 동안 고민한 끝에 마침내 그 복잡한 기하학 문제를 해결해 냈어.
304	I'm practicing juggling three soft tennis balls in the living room. 	 거실에서 부드러운 테니스공 3개로 저글링을 연습하고 있어.
305	Which board game takes less time to finish playing? 	 어떤 보드게임이 플레이 시간이 더 짧게 걸려?
306	I am trying to finish reading this mystery novel before the weekend ends. 	 주말이 끝나기 전에 이 추리 소설을 다 읽으려고 해.
307	I prefer drinking plain cold water rather than sweet juice when I'm thirsty. 	 나는 목이 마를 때 달콤한 주스보다 시원한 생수를 마시는 편이야.
308	I was deeply impressed by the traditional instruments at the cultural festival. 	 문화 축제에서 본 전통 악기들에 깊은 인상을 받았어.
309	Please make sure that your helmet strap is fastened snugly under your chin. 	 헬멧 턱끈이 턱 아래에 딱 맞게 조여졌는지 꼭 확인해 줘.
310	It is crucial to drink sufficient amounts of water after vigorous exercise. 	 격렬한 운동을 한 후에는 충분한 양의 물을 마시는 것이 대단히 중요해.
311	It takes lots of patience and constant practice to play a violin well. 	 바이올린을 잘 연주하려면 많은 인내심과 끊임없는 연습이 필요해.
312	Can you explain why the moon appears to change its shape every single night? 	 달의 모양이 매일 밤 왜 바뀌어 보이는지 설명해 줄 수 있어?
313	Could you show me how to adjust the strap length on this lightweight backpack? 	 이 가벼운 배낭의 끈 길이를 어떻게 조절하는지 보여줄래?
314	What kind of board game do you want to play this afternoon? 	 오늘 오후에 어떤 보드게임 하고 싶어?
315	I am really curious about how modern airplanes fly through severe turbulence. 	 현대 비행기가 심한 난기류를 뚫고 어떻게 비행하는지 정말 궁금해.
316	I'm going to visit my grandparents' house this coming weekend. 	 이번 다가오는 주말에 조부모님 댁에 방문할 예정이야.
317	Could you remind me to return these borrowed books before the due date? 	 반납 기한 전에 이 빌린 책들을 반납하라고 나한테 다시 알려줄래?
318	Let's make some hot chocolate because it's freezing outside. 	 밖이 너무 추우니까 핫초코 만들어 마시자.
319	Could you double-check the departure time printed on our train tickets? 	 기차표에 인쇄된 출발 시간을 다시 한번 확인해 줄 수 있어?
320	I usually brush my teeth right after finishing my meal. 	 나는 보통 밥을 다 먹고 나면 바로 양치를 해.
321	Eating fresh fruits and vegetables is very beneficial for our immune system. 	 신선한 과일과 채소를 섭취하는 것은 우리의 면역 체계에 매우 유익해.
322	You should always wear bright clothes or reflectors when walking at night. 	 밤에 걸어 다닐 때는 항상 밝은 옷이나 반사판을 착용해야 해.
323	I always make my bed neatly right after I wake up in the morning. 	 나는 아침에 일어나자마자 항상 침대를 깔끔하게 정돈해.
324	It is polite to hold the elevator door open when someone is rushing inside. 	 누군가 급하게 뛰어올 때 엘리베이터 문을 잡아주는 것은 예의 바른 행동이야.
325	Let's research different marine animals and create an interesting presentation slide. 	 다양한 해양 동물을 조사해서 흥미로운 발표 슬라이드를 만들어보자.
326	We should encourage each other whenever we participate in sports matches. 	 스포츠 경기에 참여할 때마다 우리는 서로를 응원하고 격려해야 해.
327	Let's go buy some stickers and notebooks at the gift shop. 	 소품 숍에 가서 스티커랑 공책 좀 사자.
328	I usually spend fifteen minutes organizing my bedroom before going to bed. 	 나는 보통 잠자리에 들기 전에 15분 동안 방을 정리해.
329	Is there any good movie to stream on the TV tonight? 	 오늘 밤 TV에서 볼 만한 좋은 영화 있어?
330	I tried to memorize the entire dialogue for the upcoming English drama contest. 	 다가오는 영어 연극 대회를 위해 전체 대사를 외우려고 노력했어.
331	I learned that regular physical exercise keeps our bones and muscles strong. 	 규칙적인 신체 운동이 우리의 뼈와 근육을 튼튼하게 유지해 준다는 것을 배웠어.
332	I am curious about the technological inventions of ancient civilizations. 	 고대 문명의 기술적 발명품들에 대해 호기심이 생겨.
333	Let's write a thoughtful thank-you letter to our grandparents this weekend. 	 이번 주말에 조부모님께 정성 가득한 감사 편지를 써보자.
334	I managed to finish my math assignment thirty minutes ahead of schedule. 	 예정된 시간보다 30분 일찍 수학 숙제를 끝마쳤어.
335	I was amazed by the detailed illustrations in the historical architecture book. 	 역사 건축 서적에 실린 정교한 삽화들을 보고 감탄했어.
336	I am determined to improve my English speaking skills by practicing every single day. 	 매일 연습해서 영어 말하기 실력을 향상시키겠다고 다짐했어.
337	Let's take a short five-minute break to rest our eyes and stretch our arms. 	 눈의 피로를 풀고 팔 스트레칭도 할 겸 5분 동안 잠깐 쉬자.
338	Let's arrange our study desks neatly so that we have plenty of working space. 	 작업 공간을 넓게 쓸 수 있도록 공부 책상을 깔끔하게 정리하자.
339	Could you pass me the pair of kitchen tongs so I can turn the toast over? 	 토스트를 뒤집을 수 있게 주방 집게 좀 건네줄래?
340	You should develop a habit of organizing your schedule on a weekly calendar. 	 주간 달력에 일정을 정리하는 습관을 기르는 것이 좋아.
341	I prefer drinking iced green tea rather than hot tea during summer. 	 여름에는 따뜻한 차보다 시원한 녹차를 마시는 편이야.
342	Which ice cream topping do you want, crushed nuts or sprinkles? 	 견과류 가루랑 스프링클 중에 어떤 아이스크림 토핑을 원해?
343	Don't forget to turn off the faucet tightly so it doesn't drip. 	 물이 떨어지지 않게 수도꼭지 꼭 잠그는 거 잊지 마.
344	I love putting extra whipped cream on my iced chocolate drink. 	 나는 아이스 초코 음료에 휘핑크림을 듬뿍 올려 먹는 걸 좋아해.
345	I am very curious about how solar panels generate electricity from sunlight. 	 태양광 패널이 햇빛으로부터 전기를 어떻게 만들어내는지 정말 궁금해.
346	Please double-check your backpack to make sure you have your pencil case. 	 필통을 챙겼는지 확인하기 위해 가방을 다시 한번 점검해 줘.
347	Let's ride our scooters down to the community playground. 	 킥보드 타고 동네 놀이터로 내려가자.
348	We observed various species of migratory birds at the wetland reserve. 	 우리는 습지 보호구역에서 다양한 종류의 철새들을 관찰했어.
349	Let's check if the bicycle tires have enough air before going for a ride. 	 자전거를 타러 가기 전에 타이어에 공기가 충분한지 확인해 보자.
350	Let's double-check all the departure details before heading to the train station. 	 기차역으로 향하기 전에 모든 출발 세부 사항을 다시 한번 확인하자.
351	Can you help me find the matching pair for this wool sock? 	 이 양말의 짝을 찾는 것 좀 도와줄 수 있어?
352	I'm going to make some buttered toast and scrambled eggs for lunch. 	 점심으로 버터 바른 토스트랑 스크램블드에그를 만들 거야.
353	Let's try making homemade fruit jam using fresh strawberries and sugar. 	 신선한 딸기와 설탕으로 집에서 직접 과일잼을 만들어보자.
354	I made a delicious fruit smoothie with ripe bananas, frozen berries, and milk. 	 잘 익은 바나나, 냉동 베리, 우유로 맛있는 과일 스무디를 만들었어.
355	I am extremely proud of my younger sister for winning the art award. 	 미술상을 수상한 여동생이 정말 자랑스러워.
356	You should always wash your hands thoroughly with soap before preparing any food. 	 음식을 준비하기 전에는 항상 비누로 손을 깨끗이 씻어야 해.
357	We should treat public library books carefully so other people can enjoy them too. 	 다른 사람들도 즐겁게 읽을 수 있도록 공공 도서관 책은 소중히 다뤄야 해.
358	Don't forget to wear a warm scarf because the wind is freezing outside. 	 밖의 바람이 몹시 차가우니 따뜻한 목도리를 두르는 것을 잊지 마.
359	Let's check the movie schedule to see which animated films are currently showing. 	 현재 어떤 애니메이션 영화가 상영 중인지 영화 시간표를 확인해 보자.
360	I accidentally spilled my glass of apple juice, but I cleaned it up immediately. 	 사과주스를 실수로 쏟았지만 즉시 깨끗하게 닦아냈어.
361	Don't leave perishable food items sitting outside on hot summer days. 	 무더운 여름날에는 상하기 쉬운 음식을 바깥에 방치해 두지 마.
362	I like eating crunchy toast with melted cheddar cheese on top. 	 구운 바삭한 토스트 위에 녹인 체더치즈를 얹어 먹는 걸 좋아해.
363	I'm going to help my mom fold the bed sheets and pillowcases. 	 엄마를 도와 침대 시트와 베갯잇 개는 걸 도울게.
364	It is important to set realistic daily goals so you stay motivated throughout the week. 	 일주일 내내 동기를 유지하려면 현실적인 하루 목표를 세우는 것이 중요해.
365	Can you help me set the table with plates, forks, and spoons? 	 접시, 포크, 숟가락을 놓아서 식탁 차리는 것 좀 도와줄래?
366	Our team showed great cooperation throughout the entire robotics competition. 	 우리 팀은 로봇 경진대회 내내 훌륭한 협동심을 보여주었어.
367	Don't hesitate to ask questions if you don't understand the teacher's explanation. 	 선생님의 설명을 이해하지 못했다면 주저하지 말고 질문해.
368	Can you hold the elevator door for me, please? 	 엘리베이터 문 좀 잡아주실 수 있나요?
369	Can you help me sort out these plastic bottles for recycling? 	 이 플라스틱병들을 재활용하기 위해 분류하는 것 좀 도와줄래?
370	Please wipe your shoes on the doormat before stepping inside the living room. 	 거실 안으로 발을 들이기 전에 현관 발매트에 신발을 털어줘.
371	You need to adjust the seat height of your bicycle for maximum riding comfort. 	 승차감을 최대한 편안하게 하려면 자전거 안장 높이를 조절해야 해.
372	Could you pass me that small pair of safety scissors from the shelf? 	 선반에 있는 저 작은 안전 가위 좀 건네줄 수 있어?
373	Eating various vegetables provides our bodies with necessary minerals and vitamins. 	 다양한 채소를 섭취하는 것은 우리 몸에 필요한 미네랄과 비타민을 공급해 줘.
374	Can you teach me how to tie a firm knot that will hold this tent rope? 	 이 텐트 로프를 단단하게 고정할 매듭 묶는 법을 가르쳐줄 수 있어?
375	I am really interested in learning about how solar energy powers modern homes. 	 태양 에너지가 현대 주택에 어떻게 전력을 공급하는지 배우는 데 관심이 많아.
376	I love listening to the calming sound of falling rain while reading in bed. 	 침대에서 책을 읽으며 차분하게 내리는 빗소리를 듣는 것을 정말 좋아해.
377	We need to buy more batteries for the wireless gaming controller. 	 무선 게임 패드에 넣을 건전지를 더 사야 해.
378	We should support local craft markets by choosing handmade items over plastic goods. 	 플라스틱 제품 대신 수공예품을 선택하여 지역 공예 시장을 도와야 해.
379	I always keep my study table clutter-free to help me concentrate much better. 	 훨씬 더 집중이 잘되도록 공부 책상 위를 항상 깔끔하게 유지해.
380	Regular exercise contributes greatly to both physical and mental well-being. 	 규칙적인 운동은 신체적 건강과 정신적 건강 모두에 크게 기여해.
381	I always check my backpack twice before leaving the house. 	 나는 집을 나서기 전에 항상 가방을 두 번씩 확인해.
382	It is important to treat all animals with gentleness and sincere respect. 	 모든 동물을 온화하고 진심 어린 존중으로 대하는 것은 중요해.
383	Don't leave perishable food items sitting outside on hot sunny afternoons. 	 햇볕이 뜨거운 오후에는 상하기 쉬운 음식을 바깥에 내버려 두지 마.
384	Let's build a cozy blanket fort in the living room tonight. 	 오늘 밤 거실에 아늑한 담요 요새를 만들어보자.
385	Please check if all the gas valves are tightly closed before going to sleep. 	 잠자리에 들기 전에 모든 가스 밸브가 꼭 잠겼는지 확인해 줘.
386	I always try to maintain good posture while sitting at my computer desk. 	 컴퓨터 책상에 앉아 있는 동안에는 항상 바른 자세를 유지하려고 해.
387	Let's search online to find out the opening hours of the public library. 	 공공 도서관 운영 시간을 확인하기 위해 인터넷으로 검색해 보자.
388	I am very curious about how ancient builders constructed the massive pyramids. 	 고대 건축가들이 거대한 피라미드를 어떻게 지었는지 정말 궁금해.
389	Let's clean the dirty bicycle wheels with a wet sponge and soapy water. 	 젖은 스펀지와 비눗물로 더러워진 자전거 바퀴를 닦자.
390	Let's practice passing the basketball back and forth before the team match. 	 팀 경기가 시작되기 전에 농구공을 주고받는 패스 연습을 하자.
391	I like dipping my French fries into honey mustard sauce. 	 나는 감자튀김을 허니 머스터드 소스에 찍어 먹는 걸 좋아해.
392	I'm going to practice my basketball free throws at the neighborhood court. 	 동네 농구장에서 자유투 연습을 좀 할 거야.
393	I accidentally dropped my scoop of ice cream on the sidewalk. 	 실수로 인도에 아이스크림 한 스쿱을 떨어뜨렸어.
394	It is polite to hold the door open when someone carries heavy boxes. 	 누군가 무거운 상자를 들고 있을 때 문을 잡아주는 것은 예의 있는 행동이야.
395	Let's order some fried chicken and fries for a late-night snack. 	 야식으로 프라이드치킨이랑 감자튀김 시켜 먹자.
396	I always carry a mini hand sanitizer in my backpack. 	 나는 항상 가방에 휴대용 손소독제를 넣고 다녀.
397	I was really impressed by the talented street musicians performing in the park. 	 공원에서 공연하는 재능 있는 거리 음악가들을 보고 깊은 인상을 받았어.
398	We need to collect enough evidence before drawing a definite conclusion. 	 확실한 결론을 도출하기 전에 우리는 충분한 증거를 수집해야 해.
399	I usually spend thirty minutes reviewing new vocabulary words every evening. 	 나는 보통 매일 저녁 30분씩 새로운 단어를 복습하며 보내.
400	I apologized to my classmate immediately after I accidentally stepped on his foot. 	 실수로 반 친구 발을 밟자마자 즉시 사과했어.
401	It looks like it might rain soon because dark clouds are gathering. 	 먹구름이 몰려오는 걸 보니 곧 비가 올 것 같아.
402	Let's collect fallen dry leaves to make a colorful nature collage. 	 알록달록한 자연 콜라주 작품을 만들기 위해 떨어진 마른 낙엽들을 모아보자.
403	Could you help me look for my house keys? I can't find them anywhere. 	 집 열쇠 찾는 것 좀 도와줄래? 아무리 찾아도 안 보여.
404	I have to put on sunscreen before playing outside in the sun. 	 햇볕 아래서 밖에서 놀기 전에 선크림을 발라야 해.
405	I love looking at the stars in the night sky through my binoculars. 	 쌍안경으로 밤하늘의 별들을 관찰하는 걸 정말 좋아해.
406	Let's go to the convenience store to buy some steamed buns. 	 호빵 좀 사러 편의점에 가자.
407	I learned how ancient people tracked time using traditional stone sundials. 	 고대인들이 전통 돌 해시계를 이용해 시간을 어떻게 측정했는지 배웠어.
408	Can you show me how to properly stretch leg muscles after running? 	 달리기 후에 다리 근육을 올바르게 스트레칭하는 방법을 보여줄 수 있어?
409	I decided to practice playing the guitar for thirty minutes every afternoon. 	 매일 오후 30분씩 기타 연주를 연습하기로 결심했어.
410	Let's plant some sunflower seeds in the flowerpot on the balcony. 	 베란다 화분에 해바라기 씨앗을 몇 개 심어보자.
411	Let's make sure our shoelaces are tied tightly before we start running. 	 달리기 시작하기 전에 신발 끈이 꽉 묶였는지 확인하자.
412	Make sure to turn off the water heater after you finish your shower. 	 샤워 끝나고 나면 온수 끄는 거 꼭 챙겨.
413	We should turn off unnecessary lights to conserve electricity at home. 	 집에서 전기를 절약하기 위해 불필요한 전등을 꺼야 해.
414	I can't reach the top shelf, so can you grab that bowl for me? 	 맨 윗선반에 손이 안 닿는데, 그 그릇 좀 꺼내줄 수 있어?
415	I'm going to feed the goldfish in the aquarium right now. 	 지금 어항에 있는 금붕어 밥 주러 갈 거야.
416	We should recycle these plastic bottles and cardboard boxes. 	 이 플라스틱병들과 종이 상자들은 재활용해야 해.
417	Can you describe your favorite scene from the fantasy movie we watched yesterday? 	 어제 우리가 본 판타지 영화에서 가장 마음에 들었던 장면을 설명해 줄 수 있어?
418	I need to brush my pet dog's fur because he is shedding a lot. 	 털이 많이 빠져서 반려견 털을 빗겨줘야 해.
419	Always cover your mouth with your sleeve or elbow when you cough or sneeze. 	 기침이나 재채기를 할 때는 항상 옷소매나 팔꿈치로 입을 가려.
420	Our community organized a campaign to reduce plastic waste in the neighborhood. 	 우리 지역 사회는 동네의 플라스틱 쓰레기를 줄이기 위한 캠페인을 조직했어.
421	I always wash my water bottle thoroughly with soap and warm water every day. 	 나는 매일 비누와 따뜻한 물로 물병을 깨끗하게 씻어.
422	Can you show me how to beat this difficult level in the game? 	 게임에서 이 어려운 단계 어떻게 깨는지 보여줄 수 있어?
423	I usually express my feelings honestly whenever I talk with my close friends. 	 나는 친한 친구들과 대화할 때마다 내 감정을 솔직하게 표현해.
424	Can you show me how to organize these digital photo folders on the computer? 	 컴퓨터에서 이 디지털 사진 폴더들을 정리하는 법 좀 알려줄래?
425	Let's make sure our shoelaces are tied tightly before we start jogging. 	 조깅을 시작하기 전에 신발 끈이 단단히 묶였는지 확인하자.
426	Practicing daily deep breathing exercises helps reduce stress significantly. 	 매일 심호흡 운동을 연습하는 것은 스트레스를 크게 줄이는 데 도움이 돼.
427	Do you want to ride the roller coaster with me first? 	 롤러코스터 먼저 나랑 같이 탈래?
428	Could you explain the proper steps for recycling these cardboard packaging boxes? 	 이 포장용 종이 상자들을 올바르게 분리수거하는 단계를 설명해 줄 수 있어?
429	Can you explain why it gets darker much earlier during the winter months? 	 겨울철에는 왜 훨씬 더 일찍 어두워지는지 설명해 줄 수 있어?
430	We gathered dry pine cones and twigs to build a small campfire in the campsite. 	 우리는 캠핑장에서 작은 모닥불을 피우기 위해 마른 솔방울과 나뭇가지를 모았어.
431	It takes patience and continuous practice to master a foreign language. 	 외국어를 마스터하려면 인내심과 끊임없는 연습이 필요해.
432	We should respect different traditions and customs from around the world. 	 우리는 전 세계의 다양한 전통과 관습을 존중해야 해.
433	Let's check if the ice cream in the freezer has melted. 	 냉동실에 있는 아이스크림이 녹았는지 확인해 보자.
434	Always show consideration for others when you use public transportation. 	 대중교통을 이용할 때는 항상 다른 사람들을 배려하는 태도를 보여야 해.
435	It is polite to say thank you whenever someone provides helpful assistance. 	 누군가가 유용한 도움을 주었을 때 고맙다고 말하는 것은 예의 바른 행동이야.
436	I accidentally deleted my favorite playlist while updating the mobile application. 	 모바일 앱을 업데이트하는 도중에 실수로 가장 좋아하던 재생 목록을 삭제했어.
437	I'm going to take a nap for thirty minutes to recharge my energy. 	 에너지를 충전하려고 30분 동안 낮잠을 잘 거야.
438	I accidentally dropped my pencil and the tip broke off. 	 연필을 실수로 떨어뜨려서 심이 부러졌어.
